target model rmsd protocol
ace 137 2.27823 shape
ace 138 2.22089 shape
ace 139 2.29555 shape
ace 140 2.01082 shape
ace 141 2.37911 shape
ace 142 2.49695 shape
ace 143 2.47853 shape
ace 144 3.04378 shape
ace 145 2.36025 shape
ace 146 2.22525 shape
ace 147 2.46629 shape
ace 148 3.218 shape
ace 149 1.94362 shape
ace 150 2.00938 shape
ace 151 2.05144 shape
ace 152 2.9835 shape
ace 153 1.90394 shape
ace 154 1.62154 shape
ace 155 3.64562 shape
ace 156 2.67461 shape
ace 157 3.72503 shape
ace 158 3.37927 shape
ace 159 3.07624 shape
ace 160 2.82939 shape
ace 161 2.99898 shape
ace 162 2.23002 shape
ace 163 2.22894 shape
ace 164 2.44767 shape
ace 165 2.21314 shape
ace 166 2.05787 shape
ace 167 2.3476 shape
ace 168 1.93885 shape
ace 169 1.89615 shape
ace 170 2.28588 shape
ace 171 2.87912 shape
ace 172 2.73673 shape
ace 173 3.00204 shape
ace 174 2.60043 shape
ace 175 3.04844 shape
ace 176 2.71349 shape
ace 177 2.21613 shape
ace 178 1.93461 shape
ace 179 2.48044 shape
ace 180 1.37363 shape
ace 181 2.26551 shape
ace 182 1.77633 shape
ace 183 2.45477 shape
ace 184 2.26663 shape
ace 185 1.4185 shape
ace 186 2.7338 shape
ace 187 2.62509 shape
ace 188 3.13535 shape
ace 189 1.92644 shape
ace 190 2.61608 shape
ace 191 2.42474 shape
ace 192 1.52148 shape
ace 193 1.96148 shape
ace 194 3.16093 shape
ace 195 2.11335 shape
ace 196 3.20857 shape
ace 197 2.56699 shape
ace 198 2.22874 shape
ace 199 2.01931 shape
ace 200 1.88675 shape
aces 1 0.529258 shape
aces 2 0.516276 shape
aces 3 0.515618 shape
aces 4 0.35468 shape
aces 5 0.444492 shape
aces 6 0.62149 shape
aces 7 0.497877 shape
aces 8 0.504473 shape
aces 9 0.448689 shape
aces 10 0.52474 shape
aces 11 0.544112 shape
aces 12 0.536464 shape
aces 13 0.512129 shape
aces 14 0.580574 shape
aces 15 0.47935 shape
aces 16 0.509693 shape
aces 17 0.528473 shape
aces 18 0.51895 shape
aces 19 0.49133 shape
aces 20 0.500172 shape
aces 21 0.526656 shape
aces 22 0.516165 shape
aces 23 0.345206 shape
aces 24 0.182134 shape
aces 25 0.525923 shape
aces 26 0.537852 shape
aces 27 0.502776 shape
aces 28 0.184243 shape
aces 29 0.209256 shape
aces 30 0.183827 shape
aces 31 0.517367 shape
aces 32 0.610559 shape
aces 33 0.238117 shape
aces 34 0.354199 shape
aces 35 0.533919 shape
aces 36 0.602966 shape
aces 37 0.615822 shape
aces 38 0.602869 shape
aces 39 0.606804 shape
aces 40 0.539273 shape
ada 1 2.65502 shape
ada 2 2.66102 shape
ada 3 2.6648 shape
ada 4 2.28615 shape
ada 5 2.43073 shape
ada 6 2.54601 shape
ada 7 2.25967 shape
ada 8 2.33374 shape
ada 9 2.75666 shape
ada 10 1.82355 shape
ada 11 1.74609 shape
ada 12 1.74685 shape
ada 13 1.78733 shape
ada 14 1.6407 shape
ada 15 1.78848 shape
ada 16 1.09037 shape
ada 17 1.09 shape
ada 18 1.18214 shape
ada 19 2.29721 shape
ada 20 1.12756 shape
ada 21 2.71094 shape
ada 22 2.59446 shape
ada 23 2.60579 shape
ada 24 1.78752 shape
ada 25 2.8013 shape
ada 26 2.39837 shape
ada 27 2.58274 shape
ada 28 2.57981 shape
ada 29 2.71149 shape
ada 30 2.57038 shape
ada 31 1.64208 shape
ada 32 2.48673 shape
ada 33 2.4638 shape
ada 34 2.42943 shape
ada 35 2.6976 shape
ada 36 0.859834 shape
ada 37 2.66968 shape
ada 38 0.863844 shape
ada 39 2.58156 shape
ada 40 0.902184 shape
ada 41 2.57273 shape
ada 42 1.27433 shape
ada 43 1.63218 shape
ada 44 1.50514 shape
ada 45 1.48458 shape
ada 46 1.53752 shape
ada 47 1.62917 shape
ada 48 2.43024 shape
ada 49 2.58382 shape
ada 50 1.17391 shape
ada 51 2.95275 shape
ada 52 2.79242 shape
ada 53 2.78831 shape
ada 54 2.77197 shape
ada 55 2.72482 shape
ada 56 2.71224 shape
ada 57 2.78627 shape
ada 58 2.39201 shape
ada 59 2.72847 shape
ada 60 2.73623 shape
ada 61 2.58794 shape
ada 62 2.59386 shape
ada 63 2.45963 shape
ada 64 2.52146 shape
ada 65 1.908 shape
ada 66 1.90239 shape
ada 67 2.72813 shape
ada 68 0.915986 shape
ada 69 1.55473 shape
ada 70 1.43123 shape
ada 71 1.43386 shape
ada 72 1.673 shape
ada 73 1.39021 shape
ada 74 0.815412 shape
ada 75 1.95422 shape
ada 76 1.99411 shape
ada 77 1.69552 shape
ada 78 1.17636 shape
ada 79 1.83716 shape
ada 80 1.91253 shape
ada 81 2.10445 shape
ada 82 2.35397 shape
ada 83 1.85986 shape
ada 84 1.56904 shape
ada 85 1.48349 shape
ada 86 2.58001 shape
ada 87 2.54674 shape
ada 88 2.45734 shape
ada 89 0.303153 shape
ada 90 1.65228 shape
ada 91 1.65527 shape
ada 92 2.64702 shape
ada 93 1.10704 shape
ada 94 2.36084 shape
ada 95 1.71208 shape
ada 96 1.86415 shape
ada 97 1.71315 shape
ada 98 1.67072 shape
ada 99 1.91364 shape
ada 100 1.67391 shape
ada 101 1.6219 shape
ada 102 1.15522 shape
ada 103 1.19878 shape
ada 104 1.4089 shape
ada 105 1.83624 shape
ada 106 1.38792 shape
ada 107 2.33007 shape
ada 108 2.30587 shape
ada 109 2.32534 shape
ada 110 2.32661 shape
ada 111 1.88364 shape
ada 112 1.61485 shape
ada 113 1.86635 shape
ada 114 1.85779 shape
ada 115 0.470986 shape
ada 116 1.9805 shape
ada 117 1.59781 shape
ada 118 2.26352 shape
ada 119 2.41076 shape
ada 120 1.1397 shape
ada 121 1.20715 shape
ada 122 1.36111 shape
ada 123 1.29587 shape
ada 124 1.35979 shape
ada 125 1.34012 shape
ada 126 2.62263 shape
ada 127 2.41662 shape
ada 128 1.87353 shape
ada 129 2.45864 shape
ada 130 2.31427 shape
ada 131 0.42905 shape
ada 132 2.34917 shape
ada 133 2.56907 shape
ada 134 1.51438 shape
ada 135 1.40093 shape
ada 136 1.48507 shape
ada 137 2.23066 shape
ada 138 1.48047 shape
ada 139 1.42126 shape
ada 140 1.45738 shape
ada 141 1.62603 shape
ada 142 1.25971 shape
ada 143 0.946433 shape
ada 144 1.37034 shape
ada 145 1.39151 shape
ada 146 2.29788 shape
ada 147 2.33527 shape
ada 148 2.33365 shape
ada 149 2.32221 shape
ada 150 2.38061 shape
ada 151 2.39828 shape
ada 152 1.3485 shape
ada 153 1.443 shape
ada 154 1.32502 shape
ada 155 1.46667 shape
ada 156 2.55188 shape
ada 157 2.4077 shape
ada 158 2.60316 shape
ada 159 2.52149 shape
ada 160 2.46236 shape
ada 161 2.54081 shape
ada 162 2.5304 shape
ada 163 0.967288 shape
ada 164 0.910284 shape
ada 165 2.67348 shape
ada 166 1.86232 shape
ada 167 1.75358 shape
ada 168 2.69572 shape
ada 169 0.643366 shape
ada 170 0.621346 shape
ada 171 0.637629 shape
ada 172 1.81426 shape
ada 173 0.632166 shape
ada 174 1.8806 shape
ada 175 1.07053 shape
ada 176 0.364966 shape
ada 177 1.60229 shape
ada 178 0.773235 shape
ada 179 1.93979 shape
ada 180 1.51982 shape
ada 181 1.46702 shape
ada 182 2.24814 shape
ada 183 2.78211 shape
ada 184 1.48061 shape
ada 185 1.70264 shape
ada 186 1.69645 shape
ada 187 2.19634 shape
ada 188 2.15392 shape
ada 189 1.50419 shape
ada 190 0.69951 shape
ada 191 1.31766 shape
ada 192 1.19426 shape
ada 193 1.01882 shape
ada 194 1.15459 shape
ada 195 1.47488 shape
ada 196 1.4463 shape
ada 197 2.62061 shape
ada 198 1.82906 shape
ada 199 0.720549 shape
ada 200 2.64538 shape
ada17 1 2.36052 shape
ada17 2 1.75042 shape
ada17 3 2.02074 shape
ada17 4 1.23412 shape
ada17 5 1.28336 shape
ada17 6 1.15334 shape
ada17 7 1.04044 shape
